Title;S3 Video URL;S3 Match File;S3 Match Score;Image de couverture;Muscle cible;Position de depart;Mouvement;Thème;serie;Contre-indication
Cheville flament sur airex;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/fessiers-jambes/81.+Flament+pied+sur+tapis+airex.mp4;groupes-musculaires/fessiers-jambes/81. Flament pied sur tapis airex.mp4;0.6296;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/81.+Flament+pied+sur+tapis+airex-thumb.jpg";Muscles collatéraux des cheville, genoux, hanches.;"Debout en appui sur un pied au centre du tapis avec le genou légèrement fléchit.

Abdominaux contractés.";Tenir l’équilibre le plus longtemps possible.;Jambe;3x15 répétitions;aucune
Pullover couché banc + genoux à 90° + élastique;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/programmes-predefinis/pectoraux/22.+Pullover+couche%CC%81+banc+%2B+genoux+90%C2%B0+%2B+e%CC%81lastique+.mp4;programmes-predefinis/pectoraux/22. Pullover couché banc + genoux 90° + élastique .mp4;0.9762;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/22.+Pullover+couche%CC%81+banc+%2B+genoux+90%C2%B0+%2B+e%CC%81lastique+-thumb.jpg";Pectoraux, épaules, triceps.;"Couché sur le banc, les genoux fléchis à 90°.

Les bras tendus avec l’élastique à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre les bras tendus derrière la tête sans bloquer les coudes à hauteur des oreilles.

Puis tirer l’élastique bras tendus vers l’avant, à hauteur des côtes.

Tenir les abdominaux.";Pullover;3x12 répétitions;épaule
Triceps debout + coude contre tête;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/streching/22.+Triceps+debout+%2B+coude+contre+te%CC%82te.mp4;groupes-musculaires/streching/22. Triceps debout + coude contre tête.mp4;1;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/22.+Triceps+debout+%2B+coude+contre+te%CC%82te-thumb.jpg";Triceps;Debout les pieds largeur des épaules ou un peu plus.;"Tendre le bras vers le plafond et fléchir le coude.

Le bras près de la tête.

Le coude avec l’autre main.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.";Triceps;Maintenir 1 minute et plus.;aucune
4.3 - Squat avec haltères;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/fessiers-jambes/39.+Squat+avec+halte%CC%80re.mp4;groupes-musculaires/fessiers-jambes/39. Squat avec haltère.mp4;0.878;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/39.+Squat+avec+halte%CC%80re-thumb.jpg";fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

Haltère aux mains.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Jambe;3x 15 répétitions;Aucune
Soulevé de terre dead lift;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/fessiers-jambes/58.+Souleve%CC%81+de+terre+(dead+lift)+avec+barre+H.mp4;groupes-musculaires/fessiers-jambes/58. Soulevé de terre (dead lift) avec barre H.mp4;0.7761;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/58.+Souleve%CC%81+de+terre+(dead+lift)+avec+barre+H-thumb.jpg";Fessier, ischio, mollet, dos.;"Debout, les pieds largeur des épaules ou un peu plus.

Barre à la main.

Prise de la barre extérieure des cuisses.";"Pencher le dos (en l’allongeant) à partir des deux hanches et maintenir la courbe lombaire.

Fléchir légèrement les genoux en gardant toujours le corps parallèle au sol.

Laisser glisser la barre le long des jambes jusqu’au-dessous des genoux.

Revenir en tendant les genoux et en redressant le tronc.

Tenir les abdominaux. Inspirer sur la descente.";Soulever de terre;3x15 répétitions;genoux, dos
DV couché banc + relevé de bassin + haltère;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/programmes-predefinis/pectoraux/7.+DV+banc+%2B+releve%CC%81+de+bassin+%2B+halte%CC%80re.mp4;programmes-predefinis/pectoraux/7. DV banc + relevé de bassin + haltère.mp4;0.9014;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/7.+DV+banc+%2B+releve%CC%81+de+bassin+%2B+halte%CC%80re-thumb.jpg";Pectoraux, triceps, chaines postérieures.;"Couché sur le banc, le bassin décollé, les genoux fléchis et les pieds sur le banc.

Les bras tendus avec les haltères à hauteur de la poitrine.";"Descendre les haltères légèrement sous les épaules en fléchissant les coudes.

Remonter les bras tendus sans bloquer les coudes à hauteur de la poitrine.

Tenir les abdominaux.";Développé;3x12 répétitions;épaule
9.1 - Pompe mains larges au sol;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/programmes-predefinis/pectoraux/36.+Pompe+mains+sur+le+ballon+%2B+pieds+au+sol.mp4;programmes-predefinis/pectoraux/36. Pompe mains sur le ballon + pieds au sol.mp4;0.6866;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/36.+Pompe+mains+sur+le+ballon+%2B+pieds+au+sol-thumb.jpg";pectoraux, triceps.;"Les mains plus larges que les épaules.

Les pieds écartés, ancrés au sol

Courbe lombaire neutre.";"Descendre le buste le plus bas possible, en fléchissant les deux coudes.

Puis remonter les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";;3x 30 secondes;Aucune
Extension de hanche à quatre pattes + élastique;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/fessiers-jambes/62.+Extension+de+hanche+a%CC%80+quatre+pattes+avec+e%CC%81lastique.mp4;groupes-musculaires/fessiers-jambes/62. Extension de hanche à quatre pattes avec élastique.mp4;0.9474;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/62.+Extension+de+hanche+a%CC%80+quatre+pattes+avec+e%CC%81lastique-thumb.jpg";Fessier, épaules, abdominaux.;"A quatre pattes, en appui sur les avant-bras.

Coudes et épaules alignées.

Genoux et hanche forme un angle de 90°.

Une jambe tendue.

Elastique au centre du corps.

Courbe lombaire neutre.";"Monter la jambe un peu plus haut que le fessier.

Revenir toucher la pointe des pieds au sol et repartir.

Expirer lors de la montée.";Extension;3x15 répétitions;aucune
Pompe jack nife sur le ballon tout niveau;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/programmes-predefinis/pectoraux/41.+Pompe+jack+nife+sur+le+ballon+tout+niveau.mp4;programmes-predefinis/pectoraux/41. Pompe jack nife sur le ballon tout niveau.mp4;1;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/41.+Pompe+jack+nife+sur+le+ballon+tout+niveau-thumb.jpg";Pectoraux, triceps, abdominaux.;"Les cuisses en appui au centre du ballon.

Les mains plus larges que les épaules.

Courbe lombaire neutre.";"Descendre le buste le plus bas possible, en fléchissant les deux coudes.

Remonter les bras tendus sans bloquer les coudes puis faire rouler le ballon vers la poitrine.

Revenir jambes tendues en maintenant le fessier légèrement vers le haut.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
Triceps à genoux sur le bosu + poulie et corde;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/triceps/5.+Triceps+a%CC%80+genoux+bosu+%2B+poulie+haute+et+corde.mp4;groupes-musculaires/triceps/5. Triceps à genoux bosu + poulie haute et corde.mp4;0.8506;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/5.+Triceps+a%CC%80+genoux+bosu+%2B+poulie+haute+et+corde-thumb.jpg";Triceps, épaules, abdominaux.;"A genoux au sol au centre du bosu.

Les bras fléchis à 90 °

Allonger la colonne vertébrale.";"Tendre les bras sans écarter les coudes de la taille puis revenir en fléchissant les coudes à

90°.

Tenir les abdominaux.";Triceps;3X15 répétitions;épicondylite
